epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1299.19,0.93565,1.11543,1.50475,0.70846,0.76875,0.76714,0.58134,0.89882,1.00382,1.49063,0.00643101,0.00643101,0.00643101
43,1330.2,0.92051,1.09192,1.47221,0.72076,0.732,0.76011,0.57537,0.88176,0.99194,1.47446,0.00628101,0.00628101,0.00628101
44,1361.46,0.92129,1.10328,1.47123,0.70358,0.80064,0.77788,0.59505,0.8923,0.97364,1.48532,0.00612981,0.00612981,0.00612981
45,1392.42,0.92361,1.07762,1.48834,0.71734,0.77587,0.79266,0.59837,0.89838,0.95907,1.50306,0.00597754,0.00597754,0.00597754
46,1423.19,0.92672,1.09828,1.48451,0.73269,0.75446,0.7884,0.59432,0.88622,0.9617,1.48497,0.00582435,0.00582435,0.00582435
47,1454.16,0.90552,1.05709,1.45677,0.77289,0.75075,0.78336,0.58929,0.88791,0.96166,1.47466,0.0056704,0.0056704,0.0056704
48,1485.07,0.90272,1.04362,1.45437,0.75409,0.77258,0.80135,0.60324,0.88175,0.94125,1.46806,0.00551584,0.00551584,0.00551584
49,1515.97,0.89545,1.03783,1.44485,0.70602,0.78307,0.78246,0.58693,0.88271,0.9765,1.47803,0.00536081,0.00536081,0.00536081
50,1546.73,0.88869,1.03562,1.43793,0.73231,0.77415,0.77585,0.59261,0.87767,0.94316,1.46687,0.00520548,0.00520548,0.00520548
51,1577.84,0.8931,1.02247,1.44489,0.7005,0.77798,0.7717,0.59076,0.88013,0.96254,1.48606,0.00505,0.00505,0.00505
52,1608.3,0.88328,0.99397,1.43743,0.73563,0.78478,0.79266,0.60456,0.86889,0.93563,1.46059,0.00489452,0.00489452,0.00489452
53,1638.95,0.88386,1.00956,1.43158,0.76692,0.74473,0.78696,0.60873,0.85926,0.93149,1.44683,0.00473919,0.00473919,0.00473919
54,1669.77,0.88855,0.99435,1.4368,0.73428,0.78689,0.79763,0.61089,0.86072,0.91788,1.43279,0.00458416,0.00458416,0.00458416
55,1700.54,0.8883,1.00875,1.44024,0.72993,0.76634,0.78063,0.60221,0.85761,0.94039,1.439,0.0044296,0.0044296,0.0044296
56,1731.15,0.86871,0.95237,1.41965,0.75842,0.77987,0.79863,0.61628,0.86619,0.90904,1.45005,0.00427565,0.00427565,0.00427565
57,1762.31,0.86601,0.95429,1.41481,0.72438,0.79321,0.80014,0.61276,0.87335,0.91006,1.44625,0.00412246,0.00412246,0.00412246
58,1793.3,0.84824,0.9486,1.40417,0.76264,0.75214,0.80106,0.62148,0.84972,0.9136,1.42967,0.00397019,0.00397019,0.00397019
59,1824.23,0.84331,0.94518,1.38802,0.74748,0.76085,0.79534,0.61125,0.85368,0.9172,1.43198,0.00381899,0.00381899,0.00381899
60,1854.92,0.83972,0.93533,1.39204,0.72401,0.79386,0.79836,0.61124,0.86351,0.94071,1.44986,0.00366899,0.00366899,0.00366899
61,1885.6,0.84818,0.92336,1.39779,0.72918,0.76061,0.78525,0.60526,0.85108,0.92127,1.42765,0.00352037,0.00352037,0.00352037
62,1916.34,0.83059,0.90909,1.39532,0.74147,0.77825,0.78616,0.60872,0.84318,0.9152,1.42701,0.00337325,0.00337325,0.00337325
63,1947.23,0.83215,0.89595,1.38111,0.75863,0.7703,0.79601,0.6132,0.84944,0.91816,1.43273,0.00322778,0.00322778,0.00322778
64,1978.52,0.832,0.89664,1.38954,0.77149,0.76582,0.79773,0.61526,0.84838,0.89477,1.42888,0.00308412,0.00308412,0.00308412
65,2009.66,0.83567,0.8925,1.38289,0.75583,0.77355,0.79221,0.61715,0.8469,0.91255,1.41724,0.00294239,0.00294239,0.00294239
66,2040.44,0.83363,0.90175,1.38344,0.75484,0.77469,0.79879,0.62079,0.8476,0.89602,1.42526,0.00280275,0.00280275,0.00280275
67,2071.08,0.82133,0.88377,1.37176,0.77756,0.77712,0.80473,0.62397,0.84286,0.88436,1.4213,0.00266532,0.00266532,0.00266532
68,2101.8,0.81441,0.86871,1.37237,0.74859,0.78485,0.80692,0.6293,0.83692,0.87969,1.41515,0.00253024,0.00253024,0.00253024
69,2132.54,0.82467,0.86547,1.37259,0.79065,0.77113,0.80024,0.61767,0.8499,0.8909,1.42344,0.00239766,0.00239766,0.00239766
70,2163.51,0.80787,0.85482,1.3574,0.78281,0.76793,0.80528,0.62868,0.82962,0.86844,1.4115,0.00226769,0.00226769,0.00226769
71,2194.35,0.79223,0.84198,1.34564,0.76685,0.78727,0.80993,0.63037,0.83059,0.87223,1.40467,0.00214046,0.00214046,0.00214046
72,2225.61,0.79979,0.83723,1.35501,0.79617,0.78646,0.81351,0.62986,0.83683,0.86429,1.41517,0.00201611,0.00201611,0.00201611
73,2256.46,0.78808,0.82652,1.34261,0.79549,0.75525,0.81712,0.63321,0.83511,0.87174,1.41679,0.00189475,0.00189475,0.00189475
74,2287.47,0.80375,0.83157,1.34654,0.78626,0.76934,0.81184,0.62971,0.83641,0.86585,1.41957,0.00177651,0.00177651,0.00177651
75,2318.27,0.80035,0.82777,1.35495,0.75807,0.79263,0.80709,0.62923,0.82913,0.87507,1.40676,0.00166149,0.00166149,0.00166149
76,2349.25,0.79683,0.81374,1.35598,0.75739,0.79655,0.81242,0.63216,0.83419,0.85925,1.40759,0.00154982,0.00154982,0.00154982
77,2380.24,0.78297,0.81464,1.34006,0.77815,0.7766,0.81185,0.63388,0.82921,0.875,1.40247,0.00144161,0.00144161,0.00144161
78,2411.26,0.78379,0.81409,1.34108,0.76716,0.79186,0.81482,0.6382,0.83347,0.85814,1.4112,0.00133695,0.00133695,0.00133695
79,2442.33,0.77309,0.79156,1.3309,0.77858,0.78511,0.81657,0.63423,0.83275,0.85326,1.40834,0.00123596,0.00123596,0.00123596
80,2472.88,0.77125,0.80354,1.32758,0.78062,0.78399,0.81644,0.63789,0.83347,0.86623,1.40853,0.00113873,0.00113873,0.00113873
81,2503.56,0.77193,0.8028,1.33468,0.78371,0.78476,0.81494,0.63737,0.82668,0.85596,1.40114,0.00104537,0.00104537,0.00104537
82,2534.63,0.77541,0.79145,1.33496,0.79136,0.76627,0.82001,0.64297,0.82156,0.83849,1.39787,0.000955951,0.000955951,0.000955951
83,2566.04,0.76142,0.77492,1.32594,0.77571,0.77766,0.81364,0.63456,0.83344,0.85767,1.4084,0.000870577,0.000870577,0.000870577
84,2596.93,0.76156,0.76603,1.32096,0.80264,0.75699,0.82082,0.64045,0.8277,0.84448,1.39917,0.000789327,0.000789327,0.000789327
85,2627.64,0.76769,0.77264,1.32842,0.77817,0.77536,0.81706,0.63903,0.828,0.8494,1.39867,0.000712282,0.000712282,0.000712282
86,2658.71,0.76623,0.78924,1.32551,0.78936,0.77852,0.81972,0.63906,0.82624,0.83894,1.39551,0.000639518,0.000639518,0.000639518
87,2689.64,0.75904,0.77758,1.3235,0.76336,0.79995,0.8139,0.63907,0.82538,0.84867,1.39714,0.000571106,0.000571106,0.000571106
88,2720.89,0.76171,0.76367,1.32079,0.78575,0.79455,0.82024,0.6415,0.82583,0.84069,1.40208,0.000507115,0.000507115,0.000507115
89,2751.72,0.76109,0.76355,1.31699,0.78452,0.78451,0.81399,0.63621,0.82581,0.84819,1.39669,0.000447606,0.000447606,0.000447606
90,2782.37,0.74804,0.75761,1.31079,0.77886,0.79029,0.81559,0.63743,0.82697,0.84507,1.40174,0.00039264,0.00039264,0.00039264
91,2811.96,0.66089,0.65362,1.24332,0.78769,0.78224,0.81666,0.63461,0.8383,0.85491,1.40996,0.00034227,0.00034227,0.00034227
92,2840.96,0.64075,0.61885,1.22858,0.79411,0.78027,0.81757,0.64128,0.82771,0.84572,1.40312,0.000296546,0.000296546,0.000296546
93,2869.94,0.63376,0.61728,1.22154,0.79558,0.77055,0.81534,0.64053,0.82249,0.83745,1.3991,0.000255513,0.000255513,0.000255513
94,2899.24,0.63405,0.59671,1.2181,0.78526,0.77316,0.81617,0.64195,0.82132,0.84009,1.39957,0.000219212,0.000219212,0.000219212
95,2928.15,0.64372,0.61296,1.23219,0.78272,0.7699,0.81473,0.64013,0.82325,0.84494,1.39735,0.000187678,0.000187678,0.000187678
96,2956.88,0.63351,0.60078,1.21737,0.77033,0.7846,0.81404,0.64263,0.81945,0.84298,1.39587,0.000160943,0.000160943,0.000160943
97,2985.41,0.62809,0.59598,1.21676,0.76993,0.7805,0.81324,0.64337,0.81644,0.84096,1.39408,0.000139032,0.000139032,0.000139032
98,3014.59,0.62654,0.60402,1.21357,0.76107,0.78673,0.81396,0.64287,0.81972,0.84019,1.39622,0.000121968,0.000121968,0.000121968
99,3043.53,0.63218,0.58522,1.21608,0.76668,0.78949,0.81973,0.64773,0.81879,0.83383,1.39722,0.000109768,0.000109768,0.000109768
100,3072.59,0.63332,0.60644,1.22413,0.76879,0.78502,0.81911,0.64552,0.82057,0.83291,1.39945,0.000102443,0.000102443,0.000102443
